id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,100909,3611,1685,420,493,3717.0,2126.25,1.009601354598999,0.9911314249038696,0,0,4032,3024
1,208997,2560,2554,767,465,2961.0,2976.75,1.0087887048721313,0.9857886433601379,0,0,4032,3024
2,161305,3323,1454,577,672,3717.0,1842.75,1.0071282386779785,0.9851170778274536,0,0,4032,3024
3,550285,2983,2198,1048,666,3213.0,2787.75,1.00572669506073,0.9877414107322693,0,0,4032,3024
4,13209,503,2927,200,96,567.0,2976.75,1.0032047033309937,0.9879690408706665,0,0,4032,3024
5,26529,2468,2307,247,157,2583.0,2315.25,1.0004603862762451,0.9891255497932434,0,0,4032,3024
6,551130,2652,2198,1379,815,3843.0,2315.25,0.9994362592697144,0.9859373569488525,0,0,4032,3024
7,155888,605,86,755,458,1071.0,425.25,0.9985450506210327,0.9832162857055664,0,0,4032,3024
8,47582,1463,1878,280,266,1701.0,2031.75,0.9985218048095703,0.9881327748298645,0,0,4032,3024
9,16818,3370,0,179,140,3465.0,47.25,0.9977177381515503,0.9931230545043945,0,0,4032,3024
10,45221,863,752,231,303,945.0,992.25,0.9976192712783813,0.9850143790245056,0,0,4032,3024
11,28162,2832,1362,175,277,2835.0,1464.75,0.9970785975456238,0.9747598767280579,0,0,4032,3024
12,98853,3087,1244,591,370,3339.0,1370.25,0.9961547255516052,0.989701509475708,0,0,4032,3024
13,229349,167,1732,309,1276,315.0,2598.75,0.9955134391784668,0.9838165044784546,0,0,4032,3024
14,220681,140,353,1027,419,693.0,425.25,0.9950644969940186,0.9836573004722595,0,0,4032,3024
15,21008,0,992,222,139,63.0,1086.75,0.9949444532394409,0.9872340559959412,0,0,4032,3024
16,69370,2363,1791,599,346,2835.0,1842.75,0.9948033690452576,0.9831482172012329,0,0,4032,3024
17,56117,67,360,150,504,63.0,614.25,0.99368816614151,0.9828634262084961,0,0,4032,3024
18,40809,3371,2848,352,172,3465.0,2882.25,0.9933207035064697,0.9843970537185669,0,0,4032,3024
19,12266,713,310,164,125,819.0,425.25,0.993004560470581,0.9845394492149353,0,0,4032,3024
20,117944,1136,2041,515,641,1323.0,2315.25,0.9929152727127075,0.9855698347091675,0,0,4032,3024
21,48666,3067,1876,165,509,3087.0,2126.25,0.9924514293670654,0.9842797517776489,0,0,4032,3024
22,30055,3069,136,136,324,3087.0,141.75,0.9911437034606934,0.9880227446556091,0,0,4032,3024
23,20342,1957,2518,124,261,2079.0,2693.25,0.990679919719696,0.9842492938041687,0,0,4032,3024
24,160333,691,1565,526,729,819.0,1937.25,0.9893249273300171,0.9827302694320679,0,0,4032,3024
25,91588,1923,0,501,331,1953.0,47.25,0.989243745803833,0.9775781631469727,0,0,4032,3024
26,53513,374,1438,297,486,567.0,1653.75,0.9890995025634766,0.9793808460235596,0,0,4032,3024
27,47768,3093,79,500,355,3465.0,236.25,0.9889740943908691,0.9789438843727112,0,0,4032,3024
28,18672,1181,1771,182,178,1323.0,1842.75,0.9887805581092834,0.9862322211265564,0,0,4032,3024
29,29419,1917,213,276,184,1953.0,236.25,0.9886801242828369,0.9834164977073669,0,0,4032,3024
30,41330,3039,1160,187,338,3213.0,1181.25,0.9881038665771484,0.985517680644989,0,0,4032,3024
31,23758,624,1364,240,177,819.0,1464.75,0.9875386953353882,0.9873656034469604,0,0,4032,3024
32,32428,695,1156,401,136,819.0,1181.25,0.9870786666870117,0.9850326180458069,0,0,4032,3024
33,39663,2911,964,416,137,3213.0,1086.75,0.9862415790557861,0.9852157831192017,0,0,4032,3024
34,27584,2837,0,193,359,2961.0,141.75,0.9859218001365662,0.9828924536705017,0,0,4032,3024
35,37980,158,1426,144,359,189.0,1559.25,0.9857540130615234,0.9870045185089111,0,0,4032,3024
36,24315,571,306,306,128,819.0,425.25,0.9852772951126099,0.9800814390182495,0,0,4032,3024
37,259131,454,1769,508,1248,693.0,2598.75,0.9849642515182495,0.9786421060562134,0,0,4032,3024
38,18771,3832,0,114,263,3843.0,47.25,0.9838517904281616,0.9812576174736023,0,0,4032,3024
