id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,73152,3765,0,266,397,3969.0,141.75,1.0143612623214722,0.9930791854858398,0,0,4032,3024
1,104406,3700,1962,331,505,3843.0,2126.25,1.0111005306243896,0.991188645362854,0,0,4032,3024
2,73349,3765,0,266,654,3843.0,47.25,1.0089775323867798,0.9906946420669556,0,0,4032,3024
3,268349,3342,2552,689,466,3591.0,2976.75,1.0054124593734741,0.966230571269989,0,0,4032,3024
4,112309,3438,1540,593,381,3465.0,1842.75,1.0044169425964355,0.9907539486885071,0,0,4032,3024
5,162308,1099,165,796,280,1323.0,330.75,1.0024126768112183,0.9889481067657471,0,0,4032,3024
6,222292,645,793,1040,407,819.0,803.25,1.000205159187317,0.9870439171791077,0,0,4032,3024
7,68192,279,188,433,364,441.0,236.25,0.9994772672653198,0.9850413799285889,0,0,4032,3024
8,169605,1083,488,782,524,1323.0,708.75,0.9989506006240845,0.9757084846496582,0,0,4032,3024
9,29940,3186,0,195,236,3339.0,47.25,0.9989038705825806,0.9857389330863953,0,0,4032,3024
10,54253,369,599,151,471,441.0,614.25,0.9986193776130676,0.9880573153495789,0,0,4032,3024
11,17633,54,2690,123,187,63.0,2787.75,0.998299241065979,0.9922016263008118,0,0,4032,3024
12,145925,2407,237,548,513,2835.0,425.25,0.9974018931388855,0.9863798022270203,0,0,4032,3024
13,22833,2168,2726,131,278,2205.0,2882.25,0.9967955350875854,0.9862566590309143,0,0,4032,3024
14,232356,692,1954,481,1064,819.0,2598.75,0.9967662692070007,0.9784290194511414,0,0,4032,3024
15,36077,1158,0,216,197,1323.0,47.25,0.9961645603179932,0.990591824054718,0,0,4032,3024
16,36943,3629,325,307,339,3843.0,425.25,0.9958820939064026,0.9863175749778748,0,0,4032,3024
17,53835,0,375,163,513,63.0,803.25,0.9957289099693298,0.9904795289039612,0,0,4032,3024
18,53795,640,1645,290,499,693.0,1842.75,0.9941018223762512,0.9826436042785645,0,0,4032,3024
