id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,55230,2209,284,370,371,2457.0,330.75,1.052306056022644,0.9696813225746155,0,0,4032,3024
1,56464,3821,2026,210,397,3969.0,2409.75,1.017192006111145,0.9910767674446106,0,0,4032,3024
2,237056,3470,2501,561,517,3591.0,2882.25,1.0141545534133911,0.9839411973953247,0,0,4032,3024
3,96048,3560,1500,471,374,3717.0,1653.75,1.0128766298294067,0.9914368391036987,0,0,4032,3024
4,166231,1230,118,835,273,1449.0,141.75,1.0089415311813354,0.9894285798072815,0,0,4032,3024
5,38478,3890,0,141,341,3969.0,141.75,1.0066981315612793,0.9936529994010925,0,0,4032,3024
6,165156,1261,436,775,487,1701.0,519.75,1.0019817352294922,0.9822695255279541,0,0,4032,3024
7,407130,2816,0,1062,1054,3087.0,519.75,0.9990583658218384,0.9752561450004578,0,0,4032,3024
8,31956,1051,1338,404,132,1323.0,1464.75,0.9984927177429199,0.9681152105331421,0,0,4032,3024
9,17665,157,2657,125,185,189.0,2693.25,0.9981182813644409,0.9924443364143372,0,0,4032,3024
10,137960,2112,0,795,431,2205.0,330.75,0.9980970621109009,0.9867244362831116,0,0,4032,3024
11,218862,845,741,1034,401,1449.0,1086.75,0.9967070817947388,0.984239935874939,0,0,4032,3024
12,137401,801,388,1019,270,1323.0,425.25,0.9965885877609253,0.9781979918479919,0,0,4032,3024
13,37888,3672,1293,359,156,3843.0,1370.25,0.9961888790130615,0.9879043698310852,0,0,4032,3024
14,23282,2253,2693,134,275,2331.0,2882.25,0.9956796169281006,0.9852941036224365,0,0,4032,3024
15,57865,95,337,177,537,189.0,425.25,0.9955840706825256,0.9838643074035645,0,0,4032,3024
16,377676,2582,1605,902,819,2835.0,1748.25,0.995580792427063,0.9739714860916138,0,0,4032,3024
17,55180,467,571,148,492,567.0,614.25,0.9955179691314697,0.987359344959259,0,0,4032,3024
18,35916,521,1605,144,334,567.0,1653.75,0.9950529336929321,0.9853814840316772,0,0,4032,3024
19,117563,1462,2212,515,671,1701.0,2787.75,0.994219183921814,0.98238205909729,0,0,4032,3024
20,20397,1234,1049,183,191,1323.0,1086.75,0.9936262369155884,0.9864134192466736,0,0,4032,3024
21,70040,383,163,445,366,441.0,236.25,0.9934444427490234,0.9853786826133728,0,0,4032,3024
22,30191,3784,294,247,316,3969.0,519.75,0.9927956461906433,0.9875571727752686,0,0,4032,3024
23,239005,776,1895,511,1123,945.0,2598.75,0.9926841259002686,0.979313850402832,0,0,4032,3024
24,60777,2097,0,504,225,2331.0,141.75,0.9904457330703735,0.9725496768951416,0,0,4032,3024
25,198568,516,1896,292,1122,693.0,2031.75,0.9901272058486938,0.9796269536018372,0,0,4032,3024
26,68663,0,715,325,564,189.0,1086.75,0.9900970458984375,0.9852256774902344,0,0,4032,3024
27,22248,1490,1111,172,196,1575.0,1181.25,0.9887126684188843,0.987943172454834,0,0,4032,3024
28,66936,1196,1604,422,319,1449.0,1842.75,0.9886805415153503,0.9737322926521301,0,0,4032,3024
29,60042,3523,2124,216,572,3717.0,2504.25,0.9883542656898499,0.9834492206573486,0,0,4032,3024
30,26909,2869,2562,262,154,2961.0,2598.75,0.9882820248603821,0.9882500767707825,0,0,4032,3024
31,50566,2347,1102,300,285,2583.0,1275.75,0.9877828359603882,0.9700937271118164,0,0,4032,3024
32,52040,751,1629,285,481,819.0,1842.75,0.9874795079231262,0.9840879440307617,0,0,4032,3024
33,18277,1483,1926,176,164,1575.0,2031.75,0.9874506592750549,0.9852286577224731,0,0,4032,3024
34,240203,3135,2501,896,517,3969.0,2598.75,0.985965371131897,0.9871283173561096,0,0,4032,3024
35,9846,527,2204,95,136,567.0,2315.25,0.9858538508415222,0.9904983043670654,0,0,4032,3024
36,32790,3563,1869,468,201,3843.0,1937.25,0.985762894153595,0.9836348295211792,0,0,4032,3024
37,34896,2209,2588,178,376,2331.0,2787.75,0.9857264757156372,0.9799426794052124,0,0,4032,3024
38,155618,2989,2632,539,386,3087.0,2787.75,0.9856715202331543,0.9831568598747253,0,0,4032,3024
39,29606,200,95,138,291,315.0,141.75,0.9845232963562012,0.9875759482383728,0,0,4032,3024
40,129942,1045,2053,398,966,1197.0,2598.75,0.9842675924301147,0.9804577827453613,0,0,4032,3024
41,162417,1044,1716,513,755,1323.0,2031.75,0.9842096567153931,0.9830065965652466,0,0,4032,3024
42,147946,2584,177,555,512,2835.0,330.75,0.9841278195381165,0.9851203560829163,0,0,4032,3024
43,47214,3118,2837,413,184,3465.0,2882.25,0.9836538434028625,0.9777717590332031,0,0,4032,3024
44,199056,516,1896,730,1122,567.0,2787.75,0.9834868907928467,0.9753894805908203,0,0,4032,3024
45,36978,1140,1444,315,185,1323.0,1559.25,0.9831202030181885,0.9802163243293762,0,0,4032,3024
46,18585,1886,0,251,146,2079.0,141.75,0.9826674461364746,0.986057698726654,0,0,4032,3024
47,29635,2769,1567,230,226,2835.0,1653.75,0.9822801947593689,0.9845592379570007,0,0,4032,3024
48,82836,0,1760,517,597,315.0,1937.25,0.9819831848144531,0.9786220192909241,0,0,4032,3024
49,18122,3408,0,164,161,3465.0,141.75,0.9813163876533508,0.9879809021949768,0,0,4032,3024
50,256900,0,1763,541,1245,63.0,2315.25,0.9810426235198975,0.983881950378418,0,0,4032,3024
51,91341,1109,2325,334,694,1197.0,2504.25,0.9808205962181091,0.9715970158576965,0,0,4032,3024
52,6304,0,664,97,75,63.0,708.75,0.9807899594306946,0.9886471033096313,0,0,4032,3024
53,297055,2337,2454,749,565,2835.0,2693.25,0.9805301427841187,0.9695486426353455,0,0,4032,3024
54,42381,195,1448,499,150,441.0,1559.25,0.9803909659385681,0.9814355969429016,0,0,4032,3024
55,33042,301,1166,302,173,315.0,1275.75,0.9803515672683716,0.9831892251968384,0,0,4032,3024
56,165992,1911,476,836,481,2583.0,519.75,0.979975700378418,0.9769309163093567,0,0,4032,3024
57,20676,992,1547,212,160,1071.0,1653.75,0.9792942404747009,0.987305223941803,0,0,4032,3024
58,28835,408,404,243,195,441.0,519.75,0.9788119792938232,0.9814420342445374,0,0,4032,3024
59,81793,2336,2236,846,227,2961.0,2409.75,0.9788100719451904,0.9747738242149353,0,0,4032,3024
60,478784,2070,757,942,943,2331.0,1275.75,0.978726327419281,0.9645192623138428,0,0,4032,3024
61,11872,1410,1865,120,161,1449.0,1937.25,0.9786359071731567,0.984849750995636,0,0,4032,3024
62,22085,347,0,239,149,441.0,47.25,0.9773843288421631,0.9821035861968994,0,0,4032,3024
63,10179,526,2203,96,328,567.0,2220.75,0.9769806861877441,0.9868228435516357,0,0,4032,3024
64,28669,0,1769,244,194,189.0,1842.75,0.9767682552337646,0.9828891158103943,0,0,4032,3024
65,27477,665,1632,103,358,693.0,1748.25,0.9766939878463745,0.9851474165916443,0,0,4032,3024
66,19406,0,202,198,152,63.0,236.25,0.9765444397926331,0.9822914004325867,0,0,4032,3024
67,22755,3596,2103,322,121,3843.0,2220.75,0.9761621952056885,0.9859486818313599,0,0,4032,3024
68,26980,714,534,128,273,819.0,614.25,0.976058840751648,0.9824774265289307,0,0,4032,3024
